data,R,Python,name,requests,memo
mpg,1,1, Examples: , Example requests,
mpg,1,1,Population,Show me Sioux falls population over time.,
mpg,1,1,Population forecast,Predict Sioux Falls population in 2030.  Visualize it.,
mpg,1,1,Crime,Show me the trend of violent crimes.,
mpg,1,1,High school,Show me information on high schools.,
mpg,1,1,Parks,Find the top 5 largest parks.,
mpg,1,1,Building permit,Plot  the total value of buildings by year using the permit info.,
mpg,1,1,Expensive building,Show me the top 10 most expensive building permitted in 2023.,
mpg,1,1,Total permits,Show me the trend of total permits.,
mpg,1,1,covid-19,Show me some covid-19 data in Sioux Falls.,
mpg,1,1,Bus stops,Show me the different types of bus stops using a pie chart.,
mpg,1,1,Unemployment,Show me unemployment rates.,
mpg,1,1,Roads,Show me the busiest roads?,
mpg,1,1,House,Plot the number of new single family houses over time.,
mpg,1,1,Employment,Plot number of employed people in Sioux falls over time.  ,
mpg,1,1,Zoning,Plot the total acres by zoning type.,
jokes,0,0,,Why did the tomato turn red? Because it saw the salad dressing. - ChatGPT,
jokes,0,0,,Why was the belt arrested? Because it held up a pair of pants. - ChatGPT,
jokes,0,0,,Why was the math book sad? Because it had too many problems. - ChatGPT,
jokes,0,0,,Why was the statistician's favorite method of transportation a bus? Because it had a lot of data. - ChatGPT,
jokes,0,0,,Why did the tomato turn red? Because it saw the salad dressing. - ChatGPT,
jokes,0,0,,Why was the math book upset? Because it was having a negative number of pages. - ChatGPT,
jokes,0,0,,Why was the math book happy? Because it had lots of solutions. - ChatGPT,
jokes,0,0,,Why couldn't the bicycle stand up by itself? Because it was two-tired. - ChatGPT,
jokes,0,0,,Why do statisticians enjoy spending time with their data? Because they're data-driven individuals. - ChatGPT,
jokes,0,0,,Why do statisticians like playing with their data? Because they have mean jokes. - ChatGPT,
jokes,0,0,,Why do statisticians have a tough time at parties? Because they're always trying to fit in. - ChatGPT,
jokes,0,0,,Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle. -ChatGPT,
jokes,0,0,,Don't let yesterday take up too much of today. -ChatGPT,
jokes,0,0,,"If you want to live a happy life, tie it to a goal, not to people or things. -ChatGPT",
jokes,0,0,,"If you can dream it, you can do it.",
jokes,0,0,,"Success is not final, failure is not fatal: it is the courage to continue that counts. -ChatGPT",
jokes,0,0,,The only way to do great work is to love what you do. -ChatGPT,
jokes,0,0,,The only limit to our realization of tomorrow will be our doubts of today. -ChatGPT,
jokes,0,0,,You miss 100% of the shots you don't take. -ChatGPT,
jokes,0,0,,"Your time is limited, don't waste it living someone else's life. -ChatGPT",
jokes,0,0,,Hardships often prepare ordinary people for an extraordinary destiny. -ChatGPT,
jokes,0,0,,"Success is not how high you have climbed, but how you make a positive difference to the world. -ChatGPT",
jokes,0,0,,Happiness is not something ready-made. It comes from your own actions. -ChatGPT,
jokes,0,0,,The only way to do great work is to be passionate about what you do. -ChatGPT,
jokes,0,0,,Believe you can and you're halfway there. -ChatGPT,
jokes,0,0,,The only way to achieve the impossible is to believe it is possible. -ChatGPT,
jokes,0,0,,"Do what you can, with what you have, where you are. -ChatGPT",
jokes,0,0,,"The greatest glory in living lies not in never falling, but in rising every time we fall. -ChatGPT",
jokes,0,0,,"Life is not about waiting for the storm to pass, but learning to dance in the rain. -ChatGPT",
jokes,0,0,,The biggest adventure you can take is to live the life of your dreams. -ChatGPT,
jokes,0,0,,"If opportunity doesn't knock, build a door. -ChatGPT",
jokes,0,0,,The only limit to our realization of tomorrow will be our doubts of today. -ChatGPT,
jokes,0,0,,The only true limit to our realization of tomorrow is in today's doubts and fears. -ChatGPT,
jokes,0,0,,Don't watch the clock; do what it does. Keep going. -ChatGPT,
jokes,0,0,,Successful people do what unsuccessful people are not willing to do. Don't wish it were easier; wish you were better. -ChatGPT,
jokes,0,0,,"You may be the only person left who believes in you, but it's enough. It takes just one star to pierce a universe of darkness. Never give up. -ChatGPT",
jokes,0,0,,Be the change you wish to see in the world. -ChatGPT,
jokes,0,0,,The only way to discover the limits of the possible is to go beyond them into the impossible. -ChatGPT,
jokes,0,0,,"Success is not in what you have, but who you are. -ChatGPT",
jokes,0,0,,"Success is not how much money you make, but the difference you make in people's lives. -ChatGPT",
jokes,0,0,,The only limit to our realization of tomorrow will be the doubts of today. -ChatGPT,
jokes,0,0,,"Statistics are like a bikini. What they reveal is suggestive, but what they conceal is vital. - Aaron Levenstein",
jokes,0,0,,"There are three kinds of lies: lies, damned lies, and statistics. - Benjamin Disraeli",
jokes,0,0,,"In God we trust, all others must bring data. - W. Edwards Deming",
jokes,0,0,,Statistics is the grammar of science. - Karl Pearson,
jokes,0,0,,A single death is a tragedy; a million deaths is a statistic. - Joseph Stalin,
jokes,0,0,,Chance is the pseudonym of God when he does not want to sign his work. - Anatole France,
jokes,0,0,,"Statistics are like a lamp that illuminates the past and the present, but only reveals the future. - George E. P. Box",
jokes,0,0,,Statistics are human beings with the tears wiped off. - Paul Brodeur,
jokes,0,0,,The only thing more dangerous than ignorance is arrogance. - Albert Einstein,
jokes,0,0,,The best thing about being a statistician is that you get to play in everyone's backyard. - John Tukey,
